ComplaintID,CustomerID,ComplaintDate,Channel,ComplaintText,Category,ResolutionTime,Resolved,SatisfactionScore
125,97,2024-01-15,Phone,Couldn't get through to customer support.,Customer Support,91,Yes,2
126,72,2024-05-07,Social Media,The support agent was rude.,Customer Support,51,Yes,3
127,161,2023-02-10,Social Media,I was overcharged.,Returns,62,No,3
128,176,2023-06-06,Phone,Website is not user-friendly.,Product Quality,52,No,3
129,195,2023-01-15,Chat,Couldn't get through to customer support.,Customer Support,95,Yes,2
130,124,2025-03-23,Email,The product quality is poor.,Product Quality,42,Yes,3
131,2,2023-03-06,Social Media,The support agent was rude.,Customer Support,65,No,1
132,38,2025-05-06,Social Media,Package arrived damaged.,Delivery Delay,58,No,1
133,40,2025-04-18,Social Media,I want to return my order but the process is difficult.,Returns,38,No,3
134,56,2024-06-04,Social Media,Received the wrong item.,Delivery Delay,53,Yes,2
135,103,2023-12-10,Email,Tracking number doesn't work.,Delivery Delay,5,No,2
136,103,2023-05-09,Email,Website is not user-friendly.,Payment,62,Yes,2
137,21,2024-10-09,Chat,The product quality is poor.,Product Quality,12,Yes,2
138,115,2024-04-16,Chat,No response to my email.,Customer Support,55,Yes,2
139,35,2023-03-04,Social Media,Received the wrong item.,Delivery Delay,45,Yes,1
140,67,2023-05-19,Chat,My order hasn't arrived on time.,Delivery Delay,11,Yes,2
141,188,2024-05-13,Email,Package arrived damaged.,Delivery Delay,51,Yes,1
142,151,2024-08-15,Social Media,The support agent was rude.,Customer Support,62,Yes,2
143,193,2024-01-27,Social Media,Repeated issues with the same problem.,Other,32,Yes,2
144,191,2024-11-05,Chat,The product quality is poor.,Product Quality,14,No,1
145,151,2024-02-23,Chat,Refund has not been processed.,Payment,19,Yes,2
146,123,2023-10-16,Email,My order hasn't arrived on time.,Delivery Delay,62,Yes,3
147,42,2024-01-14,Chat,My order hasn't arrived on time.,Delivery Delay,68,Yes,1
148,192,2025-02-11,Chat,Long waiting time for assistance.,Customer Support,79,No,1
149,194,2024-05-04,Social Media,No response to my email.,Customer Support,49,Yes,3
150,81,2023-08-19,Social Media,Website is not user-friendly.,Other,37,No,1
151,41,2023-02-10,Social Media,Long waiting time for assistance.,Customer Support,89,Yes,1
152,114,2023-01-28,Phone,No response to my email.,Customer Support,56,Yes,1
153,20,2023-05-15,Chat,The support agent was rude.,Customer Support,58,No,2
154,9,2023-07-20,Chat,No response to my email.,Customer Support,50,Yes,2
155,57,2025-04-19,Social Media,I was overcharged.,Other,16,Yes,2
156,124,2025-02-18,Chat,The product quality is poor.,Product Quality,32,Yes,3
157,145,2025-07-18,Chat,Payment did not go through.,Payment,21,No,1
158,78,2023-02-02,Email,Repeated issues with the same problem.,Delivery Delay,2,No,3
159,18,2023-02-17,Social Media,The product quality is poor.,Product Quality,11,Yes,2
160,63,2024-05-17,Chat,I was overcharged.,Payment,67,Yes,3
161,200,2024-02-11,Chat,No response to my email.,Customer Support,52,No,2
162,93,2024-07-27,Phone,Couldn't get through to customer support.,Customer Support,58,Yes,2
163,200,2024-12-28,Chat,My order hasn't arrived on time.,Delivery Delay,33,Yes,3
164,26,2025-03-15,Chat,I want to return my order but the process is difficult.,Returns,61,Yes,1
165,200,2023-04-09,Social Media,My order hasn't arrived on time.,Delivery Delay,23,Yes,2
166,84,2024-11-14,Email,I was overcharged.,Payment,37,No,1
167,200,2025-05-21,Social Media,My order hasn't arrived on time.,Delivery Delay,53,Yes,2
168,13,2024-12-26,Chat,Tracking number doesn't work.,Delivery Delay,59,Yes,1
169,119,2024-06-30,Chat,Long waiting time for assistance.,Customer Support,56,Yes,1
170,145,2025-08-18,Social Media,Repeated issues with the same problem.,Other,41,No,1
171,115,2025-01-08,Chat,Repeated issues with the same problem.,Other,59,Yes,1
172,26,2024-09-04,Chat,Package arrived damaged.,Delivery Delay,70,Yes,3
173,134,2025-07-31,Social Media,Refund has not been processed.,Payment,20,Yes,3
174,81,2024-04-06,Chat,No response to my email.,Customer Support,56,Yes,2
175,132,2024-10-04,Social Media,Payment did not go through.,Payment,10,Yes,1
176,89,2025-02-07,Social Media,Received the wrong item.,Delivery Delay,16,Yes,3
177,7,2023-01-05,Chat,Package arrived damaged.,Delivery Delay,40,No,2
178,17,2023-08-06,Chat,Repeated issues with the same problem.,Other,20,Yes,2
179,86,2024-05-17,Email,No response to my email.,Customer Support,78,Yes,2
180,128,2025-02-05,Chat,Received the wrong item.,Delivery Delay,11,Yes,2
181,118,2024-02-02,Chat,Repeated issues with the same problem.,Other,4,Yes,3
182,92,2025-05-20,Email,Refund has not been processed.,Payment,12,No,3
183,50,2025-03-05,Chat,My order hasn't arrived on time.,Delivery Delay,51,Yes,2
184,128,2024-01-28,Email,I was overcharged.,Customer Support,22,Yes,2
185,6,2023-07-26,Chat,Received the wrong item.,Delivery Delay,30,Yes,3
186,158,2023-01-15,Chat,No response to my email.,Customer Support,57,Yes,3
187,74,2025-05-07,Social Media,The support agent was rude.,Customer Support,70,No,1
188,56,2024-07-07,Chat,Payment did not go through.,Payment,5,Yes,3
189,39,2025-06-10,Chat,Long waiting time for assistance.,Customer Support,50,Yes,3
190,142,2024-04-05,Social Media,Package arrived damaged.,Delivery Delay,3,Yes,1
191,54,2024-11-21,Social Media,Received the wrong item.,Delivery Delay,58,Yes,3
192,22,2024-07-28,Social Media,Refund has not been processed.,Payment,8,No,1
193,185,2025-05-13,Chat,Couldn't get through to customer support.,Customer Support,48,No,1
194,41,2025-01-12,Social Media,Received the wrong item.,Delivery Delay,27,Yes,1
195,90,2023-08-29,Chat,No response to my email.,Customer Support,69,Yes,3
196,10,2024-07-17,Chat,Payment did not go through.,Payment,15,Yes,1
197,2,2023-04-06,Social Media,Repeated issues with the same problem.,Other,39,Yes,1
198,195,2025-06-18,Chat,Long waiting time for assistance.,Customer Support,88,Yes,2
199,48,2025-01-03,Chat,Website is not user-friendly.,Customer Support,38,No,3
200,42,2024-04-29,Social Media,Repeated issues with the same problem.,Customer Support,9,Yes,2
201,139,2024-02-11,Social Media,Website is not user-friendly.,Other,34,Yes,3
202,140,2023-08-19,Chat,Package arrived damaged.,Delivery Delay,37,Yes,3
203,142,2025-01-18,Social Media,The support agent was rude.,Customer Support,87,Yes,2
204,30,2024-10-16,Chat,Long waiting time for assistance.,Customer Support,71,Yes,1
205,60,2023-06-20,Chat,The product quality is poor.,Product Quality,8,Yes,1
206,158,2024-06-24,Social Media,The product quality is poor.,Product Quality,39,No,1
207,38,2023-02-05,Social Media,Received the wrong item.,Delivery Delay,16,Yes,2
208,75,2024-06-08,Chat,I want to return my order but the process is difficult.,Returns,48,Yes,1
209,65,2023-06-09,Social Media,Package arrived damaged.,Delivery Delay,67,Yes,1
210,175,2025-04-18,Chat,No response to my email.,Customer Support,79,Yes,2
211,39,2024-11-29,Social Media,Package arrived damaged.,Delivery Delay,45,Yes,1
212,177,2023-08-31,Social Media,Couldn't get through to customer support.,Customer Support,73,No,2
213,73,2023-03-27,Social Media,Refund has not been processed.,Payment,16,Yes,2
214,58,2025-03-06,Social Media,Couldn't get through to customer support.,Customer Support,83,Yes,2
215,107,2024-07-31,Phone,Website is not user-friendly.,Other,64,Yes,3
216,89,2024-11-12,Chat,No response to my email.,Customer Support,60,Yes,3
217,17,2024-07-10,Social Media,No response to my email.,Customer Support,56,Yes,2
218,134,2024-07-27,Chat,Received the wrong item.,Delivery Delay,37,No,1
219,143,2025-08-10,Social Media,Repeated issues with the same problem.,Payment,20,Yes,3
220,195,2024-10-07,Email,Package arrived damaged.,Delivery Delay,8,Yes,1
221,95,2025-03-06,Social Media,Payment did not go through.,Payment,15,No,3
222,156,2023-01-28,Social Media,Long waiting time for assistance.,Customer Support,50,Yes,2
223,172,2024-09-11,Email,Refund has not been processed.,Payment,21,No,2
224,146,2024-07-09,Chat,Couldn't get through to customer support.,Customer Support,52,Yes,2
225,160,2023-12-06,Chat,I was overcharged.,Other,17,Yes,3
226,197,2025-03-08,Social Media,Payment did not go through.,Payment,7,Yes,3
227,172,2025-08-15,Email,Refund has not been processed.,Payment,7,No,1
228,70,2023-11-27,Phone,Couldn't get through to customer support.,Customer Support,76,No,2
229,63,2024-10-01,Phone,Long waiting time for assistance.,Customer Support,50,Yes,3
230,58,2024-05-20,Email,The support agent was rude.,Customer Support,80,Yes,1
231,175,2023-12-14,Social Media,Website is not user-friendly.,Other,34,Yes,2
232,126,2024-04-17,Social Media,My order hasn't arrived on time.,Delivery Delay,70,Yes,1
233,145,2023-08-19,Chat,Refund has not been processed.,Payment,13,Yes,2
234,167,2023-07-09,Chat,Website is not user-friendly.,Other,17,Yes,3
235,187,2023-08-13,Chat,Long waiting time for assistance.,Customer Support,84,Yes,3
236,135,2024-01-20,Chat,No response to my email.,Customer Support,68,Yes,1
237,63,2024-01-12,Chat,Tracking number doesn't work.,Delivery Delay,52,Yes,1
238,117,2023-10-10,Chat,I want to return my order but the process is difficult.,Returns,44,Yes,3
239,185,2025-08-15,Social Media,No response to my email.,Customer Support,53,Yes,3
240,162,2024-09-24,Chat,Received the wrong item.,Delivery Delay,59,Yes,2
241,53,2024-09-19,Social Media,Tracking number doesn't work.,Delivery Delay,66,Yes,2
242,194,2025-01-14,Chat,Payment did not go through.,Payment,12,Yes,3
243,82,2023-09-16,Email,No response to my email.,Customer Support,53,Yes,2
244,176,2023-12-25,Social Media,No response to my email.,Customer Support,67,Yes,2
245,188,2024-12-10,Chat,Refund has not been processed.,Payment,11,Yes,2
246,43,2024-03-31,Chat,Received the wrong item.,Delivery Delay,71,No,2
247,4,2024-02-15,Social Media,Received the wrong item.,Delivery Delay,31,Yes,3
248,75,2024-10-10,Chat,Tracking number doesn't work.,Delivery Delay,38,Yes,2
249,94,2023-11-14,Email,Long waiting time for assistance.,Customer Support,81,Yes,2
250,107,2024-11-07,Chat,Package arrived damaged.,Delivery Delay,23,No,1
251,91,2023-08-13,Chat,No response to my email.,Customer Support,88,No,3
252,93,2025-03-29,Chat,Tracking number doesn't work.,Delivery Delay,21,No,1
253,180,2023-08-22,Social Media,My order hasn't arrived on time.,Delivery Delay,48,Yes,2
254,160,2024-11-14,Chat,Couldn't get through to customer support.,Customer Support,95,Yes,2
255,113,2024-10-25,Social Media,Refund has not been processed.,Payment,6,Yes,2
256,90,2025-04-06,Social Media,Package arrived damaged.,Delivery Delay,30,Yes,3
257,94,2024-01-09,Social Media,Website is not user-friendly.,Delivery Delay,37,Yes,3
258,179,2024-11-02,Social Media,Long waiting time for assistance.,Customer Support,62,Yes,1
259,138,2024-08-30,Social Media,The product quality is poor.,Product Quality,4,No,3
260,140,2024-04-16,Chat,No response to my email.,Customer Support,87,Yes,3
261,167,2023-08-21,Email,Repeated issues with the same problem.,Customer Support,52,Yes,2
262,196,2024-11-22,Chat,Refund has not been processed.,Payment,16,Yes,2
263,138,2023-04-23,Social Media,Refund has not been processed.,Payment,13,Yes,2
264,92,2025-04-09,Phone,Refund has not been processed.,Payment,11,Yes,2
265,105,2024-05-11,Social Media,Received the wrong item.,Delivery Delay,12,Yes,2
266,73,2024-03-17,Chat,Payment did not go through.,Payment,10,No,3
267,10,2024-07-17,Social Media,Received the wrong item.,Delivery Delay,20,No,1
268,104,2023-09-25,Social Media,Payment did not go through.,Payment,5,Yes,1
269,151,2024-05-24,Social Media,I was overcharged.,Other,9,No,2
270,141,2025-03-17,Social Media,Tracking number doesn't work.,Delivery Delay,49,No,1
271,48,2024-01-21,Social Media,The product quality is poor.,Product Quality,23,Yes,3
272,109,2024-01-22,Chat,Package arrived damaged.,Delivery Delay,63,Yes,2
273,89,2023-04-23,Social Media,Received the wrong item.,Delivery Delay,49,No,1
274,44,2024-09-04,Email,No response to my email.,Customer Support,55,Yes,1
275,93,2024-09-16,Social Media,Long waiting time for assistance.,Customer Support,53,Yes,1
276,64,2025-08-09,Chat,Package arrived damaged.,Delivery Delay,6,Yes,2
277,40,2023-03-22,Chat,Payment did not go through.,Payment,16,Yes,2
278,134,2024-11-29,Social Media,Received the wrong item.,Delivery Delay,29,Yes,2
279,120,2023-04-23,Social Media,I want to return my order but the process is difficult.,Returns,53,Yes,2
280,72,2023-01-02,Chat,Received the wrong item.,Delivery Delay,47,Yes,2
281,98,2024-10-03,Chat,The product quality is poor.,Product Quality,7,Yes,1
282,171,2023-08-08,Social Media,The product quality is poor.,Product Quality,26,Yes,3
283,32,2024-07-19,Chat,Payment did not go through.,Payment,17,No,1
284,177,2025-05-04,Phone,Payment did not go through.,Payment,13,Yes,3
285,74,2025-01-05,Chat,Tracking number doesn't work.,Delivery Delay,35,Yes,2
286,123,2023-08-13,Chat,The product quality is poor.,Product Quality,24,Yes,2
287,147,2024-01-20,Chat,The product quality is poor.,Product Quality,18,Yes,2
288,84,2024-02-07,Chat,I was overcharged.,Delivery Delay,4,Yes,2
289,52,2024-09-29,Chat,No response to my email.,Customer Support,73,Yes,1
290,180,2023-05-10,Social Media,I was overcharged.,Payment,56,Yes,3
291,34,2023-02-22,Social Media,My order hasn't arrived on time.,Delivery Delay,46,Yes,1
292,187,2024-11-14,Social Media,Refund has not been processed.,Payment,7,Yes,3
293,81,2024-12-30,Social Media,I was overcharged.,Returns,11,Yes,2
294,108,2024-11-02,Chat,The support agent was rude.,Customer Support,48,Yes,1
295,126,2024-12-10,Chat,Received the wrong item.,Delivery Delay,60,Yes,1
296,5,2024-02-20,Social Media,Couldn't get through to customer support.,Customer Support,94,Yes,2
297,194,2023-09-04,Chat,Tracking number doesn't work.,Delivery Delay,12,Yes,1
298,41,2025-04-15,Email,Refund has not been processed.,Payment,4,Yes,2
299,34,2024-03-14,Chat,The support agent was rude.,Customer Support,52,Yes,1
300,182,2023-07-22,Chat,My order hasn't arrived on time.,Delivery Delay,39,Yes,2
301,20,2023-07-03,Email,Couldn't get through to customer support.,Customer Support,68,Yes,2
302,182,2023-05-03,Chat,Payment did not go through.,Payment,15,Yes,1
303,66,2024-02-05,Social Media,The product quality is poor.,Product Quality,12,Yes,3
304,92,2025-02-05,Chat,I want to return my order but the process is difficult.,Returns,40,Yes,3
305,146,2023-10-21,Chat,Tracking number doesn't work.,Delivery Delay,31,No,3
306,44,2023-10-07,Chat,Website is not user-friendly.,Other,9,Yes,2
307,103,2025-04-16,Social Media,Repeated issues with the same problem.,Returns,20,Yes,1
308,48,2025-06-02,Social Media,I was overcharged.,Other,37,Yes,2
309,35,2024-09-01,Chat,The product quality is poor.,Product Quality,28,Yes,3
310,111,2023-07-17,Phone,I want to return my order but the process is difficult.,Returns,60,Yes,2
311,39,2025-06-25,Chat,The support agent was rude.,Customer Support,77,Yes,3
312,3,2024-05-25,Email,Payment did not go through.,Payment,14,Yes,2
313,19,2025-01-21,Chat,Couldn't get through to customer support.,Customer Support,91,Yes,1
314,125,2023-05-24,Chat,The support agent was rude.,Customer Support,74,Yes,2
315,146,2024-08-31,Chat,Repeated issues with the same problem.,Customer Support,29,Yes,1
316,83,2023-07-20,Chat,The product quality is poor.,Product Quality,47,Yes,3
317,5,2023-05-04,Chat,The product quality is poor.,Product Quality,47,Yes,1
318,55,2023-07-06,Email,Couldn't get through to customer support.,Customer Support,85,Yes,3
319,13,2023-11-22,Social Media,Website is not user-friendly.,Other,59,Yes,1
320,162,2024-04-08,Social Media,I want to return my order but the process is difficult.,Returns,41,Yes,3
321,18,2023-12-15,Chat,The support agent was rude.,Customer Support,69,Yes,1
322,68,2025-02-09,Phone,Payment did not go through.,Payment,22,Yes,1
323,100,2024-10-21,Social Media,The product quality is poor.,Product Quality,41,Yes,2
324,200,2025-02-02,Social Media,Long waiting time for assistance.,Customer Support,65,Yes,1
325,171,2025-08-12,Social Media,The support agent was rude.,Customer Support,88,Yes,1
326,193,2025-07-20,Chat,No response to my email.,Customer Support,54,No,3
327,169,2024-02-07,Chat,Website is not user-friendly.,Other,5,Yes,1
328,38,2023-12-12,Social Media,The support agent was rude.,Customer Support,83,Yes,1
329,166,2025-08-20,Chat,I was overcharged.,Other,65,Yes,1
330,141,2024-05-25,Social Media,Couldn't get through to customer support.,Customer Support,72,No,1
331,125,2023-05-27,Social Media,Package arrived damaged.,Delivery Delay,9,Yes,3
332,22,2023-05-28,Social Media,Package arrived damaged.,Delivery Delay,47,Yes,3
333,29,2025-05-13,Social Media,I was overcharged.,Delivery Delay,17,Yes,1
334,137,2024-12-11,Chat,Repeated issues with the same problem.,Delivery Delay,19,Yes,1
335,110,2025-03-30,Chat,Payment did not go through.,Payment,21,Yes,3
336,108,2024-05-03,Email,My order hasn't arrived on time.,Delivery Delay,54,Yes,1
337,68,2025-07-17,Social Media,Couldn't get through to customer support.,Customer Support,87,Yes,2
338,104,2025-07-24,Chat,The support agent was rude.,Customer Support,78,No,2
339,145,2024-10-01,Email,My order hasn't arrived on time.,Delivery Delay,35,Yes,1
340,165,2024-07-04,Social Media,The product quality is poor.,Product Quality,4,Yes,3
341,192,2023-12-04,Chat,My order hasn't arrived on time.,Delivery Delay,47,Yes,2
342,195,2025-05-21,Social Media,Website is not user-friendly.,Other,30,Yes,1
343,132,2024-10-02,Chat,Received the wrong item.,Delivery Delay,18,Yes,3
344,40,2025-02-17,Chat,Website is not user-friendly.,Other,35,No,2
345,144,2025-08-10,Phone,I was overcharged.,Product Quality,28,Yes,3
346,139,2024-04-17,Chat,Couldn't get through to customer support.,Customer Support,57,Yes,3
347,26,2025-08-03,Email,Received the wrong item.,Delivery Delay,23,Yes,1
348,95,2023-05-31,Social Media,Couldn't get through to customer support.,Customer Support,58,Yes,3
349,98,2024-02-19,Chat,No response to my email.,Customer Support,48,Yes,2
350,200,2023-10-25,Phone,Repeated issues with the same problem.,Product Quality,10,No,2
351,103,2024-09-02,Chat,Repeated issues with the same problem.,Product Quality,66,Yes,3
352,193,2023-09-20,Social Media,Tracking number doesn't work.,Delivery Delay,5,No,1
353,125,2025-02-02,Social Media,Payment did not go through.,Payment,20,Yes,1
354,2,2023-05-24,Chat,Long waiting time for assistance.,Customer Support,70,No,2
355,91,2023-12-12,Phone,Repeated issues with the same problem.,Product Quality,59,Yes,3
